40.77,73.53,86.27,Rutgers
40.68,82.60,80.55,Buffalo
40.77,80.40,83.17,Akron
29.41,94.91,78.25,"New Mexico State"
35.95,78.56,89.03,"South Carolina"
35.17,120.44,87.08,"Oregon State"
32.93,96.62,86.02,Baylor
33.02,96.74,84.38,Connecticut
26.35,80.12,81.05,Marshall
29.86,95.44,92.84,"Texas A&M"
34.78,92.50,78.66,UTSA
37.72,121.04,87.86,Indiana
31.49,87.97,79.70,Troy
35.13,89.84,76.67,"South Alabama"
40.25,75.15,86.00,Virginia
37.79,78.23,99.27,"Penn State"
34.19,118.49,83.33,Kentucky
29.74,95.83,84.46,Louisiana
30.05,95.48,79.99,Rice
32.89,97.15,95.29,Oklahoma
41.84,85.45,86.71,"Western Michigan"
44.63,93.30,84.44,Minnesota
39.97,75.83,82.56,"N.C. State"
34.29,118.61,83.97,Nevada
39.09,84.70,94.54,Kentucky
38.01,121.84,79.16,"San Jose State"
35.25,92.37,84.33,SMU
28.13,82.67,82.08,UCF
34.23,118.15,80.51,UNLV
30.29,81.63,84.35,"Wake Forest"
30.29,82.19,83.57,Duke
32.32,90.11,90.38,"Ole Miss"
35.32,94.01,90.88,Arkansas
35.95,93.98,89.13,Arkansas
33.42,86.68,78.16,"Southern Miss"
34.15,118.43,80.79,Columbia
34.07,118.24,93.48,LSU
41.31,81.67,78.98,"Miami (OH)"
41.65,83.67,86.62,"Eastern Michigan"
39.36,87.42,89.96,Purdue
40.14,81.95,81.49,"Kent State"
37.81,121.97,78.31,"Arkansas State"
40.62,111.71,96.31,Alabama
39.53,84.29,79.05,"Youngstown State"
45.61,121.59,77.23,"Utah State"
48.16,117.24,84.25,"Washington State"
33.00,96.90,86.49,Purdue
28.12,82.35,83.58,Marshall
30.55,97.55,80.86,"Louisiana Tech"
33.42,86.68,80.39,UAB
34.02,84.24,81.12,"Southern Miss"
34.00,84.47,84.33,Alabama
35.58,81.17,76.70,Charlotte
40.24,76.92,86.13,"Virginia Tech"
34.97,81.08,90.04,"Oklahoma State"
35.48,80.79,97.65,Florida
34.09,84.22,93.05,Tennessee
33.53,111.89,80.00,Iowa
40.33,75.86,79.92,Delaware
33.80,83.89,80.97,"Mississippi State"
39.62,75.87,87.11,"West Virginia"
39.54,104.92,81.10,"Wake Forest"
39.42,76.57,77.39,"Michigan State"
41.55,81.61,87.15,"Ohio State"
37.79,78.23,87.04,"Ohio State"
37.59,77.58,87.64,Michigan
42.95,85.66,81.41,"Central Michigan"
41.55,72.65,86.24,Connecticut
34.10,83.57,75.19,"N.C. State"
34.03,84.60,88.32,Auburn
46.62,120.70,82.27,SMU
33.16,117.17,78.41,"Kent State"
37.85,96.81,85.56,Connecticut
41.48,81.69,80.15,Yale
32.57,93.69,77.98,"Central Arkansas"
29.97,90.36,84.93,Utah
33.89,118.13,99.32,UCLA
42.86,84.59,82.29,"Central Michigan"
34.17,83.91,83.30,"North Carolina"
33.77,117.88,78.33,"New Mexico State"
36.37,121.84,79.00,"San Jose State"
32.28,95.07,76.03,"Air Force"
40.49,105.00,75.81,"Colorado State"
43.04,78.76,76.59,Buffalo
41.01,80.61,77.80,"Kent State"
33.51,112.07,89.59,"Washington State"
29.97,90.09,79.85,Tulane
36.09,86.84,76.81,Samford
26.07,80.22,82.60,USF
33.53,117.62,76.67,UCLA
34.23,84.18,77.97,"Middle Tennessee State"
33.92,84.62,91.71,LSU
29.99,95.66,80.37,Rice
41.68,83.53,90.73,"Notre Dame"
28.88,81.23,78.98,Memphis
34.13,118.05,79.12,"Fresno State"
32.96,96.98,76.50,UTEP
33.65,117.68,83.25,Utah
37.95,122.56,91.54,California
38.60,89.91,81.25,"Western Kentucky"
26.70,81.94,83.63,"East Carolina"
36.83,76.02,87.21,Virginia
33.46,84.58,82.43,Marshall
34.14,118.39,86.47,Vanderbilt
41.02,91.13,81.69,"Kansas State"
34.06,84.38,81.88,Yale
35.34,80.80,79.06,"Georgia State"
38.79,77.29,91.96,"North Carolina"
35.21,87.01,77.98,"Virginia Military Institute"
40.12,83.13,81.98,"Boston College"
29.48,95.36,79.12,"Old Dominion"
42.44,83.65,80.74,"Western Michigan"
34.00,84.47,80.37,"Louisiana Tech"
29.77,95.50,83.72,Rice
34.20,118.69,93.75,Miami
32.77,96.62,86.96,"Fresno State"
29.67,95.48,81.47,UTSA
34.15,118.17,81.32,"Azusa Pacific"
33.68,111.73,99.56,"Texas A&M"
33.58,117.14,83.56,"Colorado State"
40.29,77.00,79.82,Syracuse
33.67,117.97,75.81,Pennsylvania
31.33,82.26,85.85,UCF
34.22,84.85,80.08,Charlotte
41.06,74.15,80.78,Temple
33.62,112.00,86.00,"Boise State"
36.09,86.84,78.57,Chattanooga
26.07,80.22,93.49,Auburn
34.34,89.48,75.93,"Southern Miss"
36.00,86.78,85.01,Florida
28.01,82.59,84.62,Lehigh
32.99,80.01,94.48,Georgia
41.10,85.12,80.47,"Ball State"
41.77,88.14,82.14,"Illinois State"
42.52,83.26,87.27,Iowa
34.91,82.12,81.61,"Old Dominion"
39.91,86.12,77.57,"Penn State"
37.64,93.40,88.44,Arkansas
35.20,85.33,79.90,Kentucky
29.69,95.12,79.15,"North Texas"
40.39,84.52,85.14,Pittsburgh
39.53,104.96,85.59,Alabama
30.30,97.81,79.87,SMU
34.05,84.07,79.14,"South Alabama"
38.24,84.96,80.40,Toledo
30.42,97.80,82.04,Houston
25.60,80.33,85.40,Duke
32.22,95.22,88.07,"Texas Tech"
32.08,96.39,83.41,Iowa
38.00,121.32,88.01,"Fresno State"
37.44,122.15,97.53,Stanford
37.32,121.91,91.40,Washington
33.26,96.81,86.71,"Texas Tech"
32.12,94.32,78.58,UTSA
29.74,95.73,82.01,Memphis
33.32,111.82,78.31,"Utah State"
32.29,98.19,78.75,"Texas State"
42.28,71.17,82.28,"Boston College"
36.06,95.81,83.81,"Colorado State"
42.89,88.01,78.89,"Western Illinois"
35.20,94.19,83.42,Tulsa
41.13,80.61,88.66,"Virginia Tech"
35.28,80.96,89.96,"N.C. State"
40.87,81.23,84.31,Ohio
35.11,80.83,80.68,"Wake Forest"
41.85,88.12,92.44,Northwestern
39.53,104.96,80.46,Tulsa
37.07,95.62,86.56,Arkansas
40.44,79.96,91.06,"Florida State"
37.68,120.95,84.85,Hawaii
34.10,117.66,86.08,"Washington State"
41.04,73.63,80.56,Massachusetts
30.25,81.85,76.67,"Tennessee State"
42.07,88.02,79.73,"Ball State"
28.26,82.48,81.60,"Eastern Michigan"
26.09,80.18,83.23,Vanderbilt
28.08,82.49,80.33,FIU
41.25,95.70,87.59,"Kansas State"
35.25,97.46,96.34,Alabama
43.28,84.57,82.20,"Wake Forest"
34.29,119.23,96.23,USC
33.02,83.23,87.00,"Georgia State"
33.61,117.67,84.08,"San Jose State"
37.80,100.00,77.57,Memphis
37.85,96.81,82.34,Houston
33.29,97.51,85.50,TCU
31.90,106.41,75.81,UTEP
41.79,88.08,82.61,"Western Illinois"
35.40,118.99,78.33,"Fresno State"
35.13,89.84,78.99,"Missouri State"
40.35,80.24,79.98,Duquesne
33.83,118.31,85.15,Arizona
34.01,117.85,82.38,Tulane
36.30,119.38,83.84,"Penn State"
